study_id,yi,sei,rob_selection,rob_measurement,rob_reporting,quality_score,moderator,design,true_effect,internal_bias,selection_probability,selected
study_1,0.5384643006097541,0.18157252825451375,1.0,0.0,1.0,0.6666666666666666,0.43963660601699356,OBS,0.2629188926646686,0.19,0.7848621688448678,1
study_2,0.15651770346876887,0.1246093347578489,0.0,0.0,0.0,0.0,0.524187842812771,RCT,0.22299084557397825,0.0,0.2781273721017976,0
study_3,0.28389396129283134,0.19596164638493502,1.0,0.0,0.0,0.3333333333333333,0.27627417932855375,RCT,0.2445592846294521,0.12,0.2798561793244383,1
study_4,0.3266110521633712,0.16855256494009185,0.0,0.0,0.0,0.0,-1.4127658838923665,RCT,0.09693414012778037,0.0,0.4343677862505617,1
study_5,0.18855562765265824,0.06601014914090042,0.0,0.0,0.0,0.0,-2.310103436632644,OBS,0.2572448681729448,0.0,0.8613115419942322,1
study_6,-0.24616874282946194,0.21585579977824848,0.0,0.0,0.0,0.0,0.054353585390382264,RCT,0.2746438851925502,0.0,0.18584269503765222,0
study_7,0.7356417814863927,0.17939374933836,0.0,1.0,1.0,0.6666666666666666,-0.47177603363833576,OBS,0.28664975400333803,0.16,0.7874051887583132,1
study_8,0.9364397162201038,0.18363093189708213,1.0,0.0,1.0,0.6666666666666666,0.45938577171661177,RCT,0.2783042485715994,0.19,0.7851103996875587,1
study_9,0.3556820975514254,0.07177931755484279,1.0,0.0,0.0,0.3333333333333333,0.7019536262212701,RCT,0.2647720488513309,0.12,0.8777168142390745,1
study_10,0.4967262825605752,0.1265656094422464,0.0,0.0,1.0,0.3333333333333333,0.13824143205868192,RCT,0.6718633695625953,0.07,0.7859594652192907,1
study_11,0.2507406964292913,0.1130356641195388,0.0,0.0,0.0,0.0,0.7601330853758538,OBS,0.2858364588770749,0.0,0.6856651745423286,1
study_12,0.21290409674871116,0.2075500481042623,0.0,0.0,1.0,0.3333333333333333,0.22921137411506842,RCT,0.2023096837566859,0.07,0.25470413793634544,0
study_13,0.26533503544832493,0.15945707041371296,1.0,0.0,0.0,0.3333333333333333,0.5300647056014667,RCT,0.17561973473945378,0.12,0.3522564855120593,1
study_14,-0.04511961369498774,0.18986947425604106,0.0,0.0,0.0,0.0,-0.7046732628698824,OBS,0.1662787884676766,0.0,0.20214858038265204,0
study_15,0.18771953044344625,0.1253804138006463,0.0,0.0,0.0,0.0,-0.17961141383145854,RCT,0.1150539145769702,0.0,0.2966510761300237,0
study_16,0.20128689214507828,0.08863058270341206,0.0,0.0,0.0,0.0,0.19677609665695725,RCT,0.15479949784123523,0.0,0.7564681498957205,0
study_17,0.013454203503032919,0.1442794137926919,0.0,0.0,0.0,0.0,0.8205284754174188,RCT,0.22906617029906687,0.0,0.2375251422064289,0
study_18,0.4942780685594461,0.06084893353770981,1.0,0.0,0.0,0.3333333333333333,-0.3937411722245721,OBS,0.33173269310276,0.12,0.9045688074625794,1
study_19,0.7011678646011374,0.19069729923873896,0.0,0.0,1.0,0.3333333333333333,0.5211672557321126,RCT,0.23972638235613633,0.07,0.7321019929111962,1
study_20,0.3178456380805012,0.15738294785075102,0.0,1.0,0.0,0.3333333333333333,-0.265838791915379,OBS,0.2007820140481616,0.09,0.5730294951466354,1
study_21,0.4241753290974269,0.17887491581451354,0.0,0.0,1.0,0.3333333333333333,-0.11754216732813036,RCT,0.41451433906454804,0.07,0.7070200449725105,1
study_22,0.3383799737233074,0.11026941458207762,0.0,0.0,0.0,0.0,0.829519042024073,OBS,0.354038585044798,0.0,0.7611331436505206,1
study_23,0.3073772493765959,0.21501866414713355,0.0,0.0,0.0,0.0,-1.993060371054156,OBS,0.1750855612355316,0.0,0.2189317024141752,0
study_24,-0.060429933732466856,0.2018305906247736,0.0,1.0,1.0,0.6666666666666666,-1.296472328074761,RCT,0.1288725385845802,0.16,0.29355219841524965,0
study_25,0.29938123863784516,0.18232519450253953,0.0,0.0,0.0,0.0,-1.4821853974428207,OBS,0.26940867174309935,0.0,0.269967416526856,1
study_26,0.3025863081706418,0.08308858033483449,1.0,0.0,0.0,0.3333333333333333,-2.3336161198483047,OBS,0.21502940340343923,0.12,0.8531005572924818,1
study_27,0.3800665069808266,0.1293425706335958,1.0,1.0,0.0,0.6666666666666666,-0.6782644401551767,OBS,-0.06893593027596576,0.21,0.8234833433142063,1
study_28,0.3470389581443526,0.0574466401838289,1.0,0.0,0.0,0.3333333333333333,0.7494338997277404,RCT,0.23704459651307982,0.12,0.9134920990444074,1
study_29,0.42955810402916494,0.07622921365148314,0.0,0.0,1.0,0.3333333333333333,-0.28488406638257474,RCT,0.23241634297447325,0.07,0.867710700753415,1
study_30,0.1606065668440485,0.1661183220512173,1.0,0.0,1.0,0.6666666666666666,0.19779008194185213,RCT,0.15395811953923527,0.19,0.33661897328413626,1
study_31,0.37157958320305373,0.1766095665043289,0.0,0.0,0.0,0.0,1.0892174967107926,RCT,0.2678639963283192,0.0,0.545401514871527,0
study_32,0.33194868517618065,0.2144766545138157,1.0,0.0,0.0,0.3333333333333333,1.3276861322676916,RCT,0.14344478514740763,0.12,0.28398540403984207,1
study_33,0.39323159033428223,0.10539031088348583,0.0,1.0,1.0,0.6666666666666666,-0.06913793472613955,RCT,0.32482074995918947,0.16,0.8511041296301456,1
study_34,0.6604854603453054,0.1129781500259277,1.0,1.0,1.0,1.0,1.3535858895693973,RCT,0.3604435754918365,0.28,0.8744126247151554,1
study_35,0.32462462328761343,0.12982448791688733,0.0,0.0,0.0,0.0,0.09212665843410921,RCT,0.167209986206371,0.0,0.7172954652302869,1
study_36,0.3682190491693043,0.08221013104432856,1.0,0.0,0.0,0.3333333333333333,-0.8373982238274621,RCT,0.27483800760977223,0.12,0.8550193402203103,1
study_37,0.12740630287180002,0.07208665590703017,1.0,0.0,1.0,0.6666666666666666,-0.5944003521987352,OBS,0.05937423217004795,0.19,0.6666259482323184,1
study_38,0.2007776475554093,0.13086983745840874,0.0,0.0,1.0,0.3333333333333333,-1.4805365125650163,OBS,0.1330760918018229,0.07,0.3530320665382006,0
study_39,0.08992191574485933,0.0885745893386503,0.0,0.0,0.0,0.0,-0.8881338537336524,RCT,0.16985367077582003,0.0,0.34913733113122447,0
study_40,0.18739000292655567,0.16386837909602675,1.0,0.0,0.0,0.3333333333333333,-0.35801668807442916,RCT,0.1234888576436184,0.12,0.2852041569656143,0
study_41,0.5511166181949128,0.12431582620829622,1.0,1.0,0.0,0.6666666666666666,0.8035850193786016,OBS,0.3512592691918108,0.21,0.8297441610998628,1
study_42,0.3843016211420072,0.19155529332983234,0.0,0.0,0.0,0.0,1.7207698311659838,RCT,0.7110283316995382,0.0,0.46566891561203183,0
study_43,-0.35343975650527193,0.16904506734038233,0.0,0.0,0.0,0.0,-1.38218151537704,RCT,-0.08032068373575765,0.0,0.49994492646239463,0
study_44,0.21448996521417052,0.10310232903494698,0.0,0.0,0.0,0.0,0.39282746825991893,RCT,0.16478775172098215,0.0,0.6385699903405377,1
study_45,0.19752719757742915,0.19148416623718417,0.0,1.0,0.0,0.3333333333333333,-1.0405439391575344,RCT,0.2076195512900684,0.09,0.26341401776935947,0
study_46,0.004010465936743757,0.18680994077445628,1.0,0.0,0.0,0.3333333333333333,0.47469708846320197,RCT,0.36313020453386574,0.12,0.25358504303112406,0
study_47,0.37921837347297394,0.11587132443512965,1.0,0.0,0.0,0.3333333333333333,-0.1310866506877266,OBS,0.16827745547617595,0.12,0.7989095876102427,1
study_48,0.2819646181408897,0.0990157776681415,0.0,0.0,1.0,0.3333333333333333,-1.8309058258475304,RCT,0.18499571500912945,0.07,0.8222670097450678,0
study_49,0.36503229578328844,0.1660242356757458,0.0,1.0,0.0,0.3333333333333333,0.9282969915684843,RCT,0.3935528178121033,0.09,0.6676710663101134,1
study_50,0.022582586485667286,0.07375792221358267,0.0,0.0,0.0,0.0,-0.605000712808731,OBS,0.11970924676139671,0.0,0.39731436512703855,0
study_51,0.2916922763251828,0.08398439442076841,0.0,0.0,1.0,0.3333333333333333,-0.5339002383735546,OBS,0.15149745630112682,0.07,0.8512384967984037,0
study_52,0.3319236725710289,0.05125158585767094,0.0,1.0,1.0,0.6666666666666666,-1.06975241128969,RCT,0.15401889914444222,0.16,0.9456952431675374,1
