target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
GLP1,sparse,0,nma,-1.1715684059062057,-0.313036373927583,-0.6489672089088736,0.02289446105370757,True,,
GLP1,sparse,0,borrow,-1.1715684059062057,-0.3688589482472605,-0.589000343684321,-0.1487175528102,True,1.0,0.9841872659098578
GLP1,sparse,0,shrink_mean,-1.1715684059062057,-0.37275694217038674,-0.5881950236219216,-0.15731886071885193,True,0.8835747737763441,1.247558714428165
GLP1,sparse,1,nma,-1.1715684059062057,-1.0733040883163323,-1.3774521196301701,-0.7691560570024946,True,,
GLP1,sparse,1,borrow,-1.1715684059062057,-0.9536342501158807,-1.5119858410417244,-0.3952826591900368,True,0.1167133499699736,5.296068701205428
GLP1,sparse,1,shrink_mean,-1.1715684059062057,-0.9756657798979864,-1.5135198759283452,-0.4378116838676276,True,0.053945656741955124,6.8395561915302885
GLP1,sparse,2,nma,-1.1715684059062057,-1.4573726725168243,-1.7724336604942328,-1.142311684539416,True,,
GLP1,sparse,2,borrow,-1.1715684059062057,-0.837784066782592,-1.8450393576085713,0.16947122404338733,True,0.4934116676115142,2.412822855596371
GLP1,sparse,2,shrink_mean,-1.1715684059062057,-0.8175525633355554,-1.804438553747756,0.16933342707664534,True,0.46098990060053957,2.5487582876329675
GLP1,sparse,3,nma,-1.1715684059062057,-0.7531940652031328,-1.060185812113896,-0.4462023182923695,True,,
GLP1,sparse,3,borrow,-1.1715684059062057,-0.5731829229962693,-0.9821141828244732,-0.1642516631680654,True,1.0,0.3519673400449866
GLP1,sparse,3,shrink_mean,-1.1715684059062057,-0.55574217387293,-0.9177712241098608,-0.19371312363599918,True,1.0,0.3962320413501386
GLP1,sparse,4,nma,-1.1715684059062057,-1.7156073461454242,-2.0193659244296915,-1.411848767861157,True,,
GLP1,sparse,4,borrow,-1.1715684059062057,-1.3743600904117763,-2.5628629223147845,-0.1858572585087679,True,0.031388690852207496,7.922615229769952
GLP1,sparse,4,shrink_mean,-1.1715684059062057,-1.3660249128700155,-2.567111850169196,-0.1649379755708349,True,0.021357941179122028,8.692663312561734
GLP1,sparse,5,nma,-1.1715684059062057,-1.3863988130779576,-1.8090149437931018,-0.9637826823628135,True,,
GLP1,sparse,5,borrow,-1.1715684059062057,-0.5981167219763933,-1.1404537513301078,-0.0557796926226789,True,1.0,0.5118560472706879
GLP1,sparse,5,shrink_mean,-1.1715684059062057,-0.5834981537069297,-1.0868361233660973,-0.08016018404776204,True,1.0,0.5410928701057657
GLP1,sparse,6,nma,-1.1715684059062057,-1.0258667312500518,-1.3566716545724837,-0.69506180792762,True,,
GLP1,sparse,6,borrow,-1.1715684059062057,-0.6103425034063086,-1.2086611447692084,-0.012023862043408662,True,1.0,0.5576807091150202
GLP1,sparse,6,shrink_mean,-1.1715684059062057,-0.5964515086564659,-1.1600648145242747,-0.03283820278865712,True,1.0,0.584139873699783
GLP1,sparse,7,nma,-1.1715684059062057,-0.802461903414649,-1.0560771754319662,-0.5488466313973317,True,,
GLP1,sparse,7,borrow,-1.1715684059062057,-0.7251112473534067,-0.9991455661616402,-0.4510769285451732,True,0.6226716953621508,1.9474717456613173
GLP1,sparse,7,shrink_mean,-1.1715684059062057,-0.7246836336159703,-1.0052848746738996,-0.44408239255804116,True,0.37085485975990157,2.983889013007743
GLP1,sparse,8,nma,-1.1715684059062057,-0.7471244560880392,-1.039822564540621,-0.4544263476354576,True,,
GLP1,sparse,8,borrow,-1.1715684059062057,-0.5632350044038261,-0.953071954615702,-0.1733980541919502,True,1.0,0.2688289055252718
GLP1,sparse,8,shrink_mean,-1.1715684059062057,-0.5462368508404682,-0.8867184742599068,-0.20575522742102975,True,1.0,0.30589983538949306
GLP1,sparse,9,nma,-1.1715684059062057,-1.3178543039510755,-1.64040732357597,-0.995301284326181,True,,
GLP1,sparse,9,borrow,-1.1715684059062057,-0.7115118011279492,-1.5130051176367154,0.089981515380817,True,0.8584948326723476,1.3051492353630718
GLP1,sparse,9,shrink_mean,-1.1715684059062057,-0.6963425188030887,-1.4764689400211082,0.08378390241493061,True,0.830348173967426,1.371820358887405
GLP1,sparse,10,nma,-1.1715684059062057,-0.6289351024713428,-0.9057992098913492,-0.3520709950513364,True,,
GLP1,sparse,10,borrow,-1.1715684059062057,-0.5527682523917677,-0.8636685360499495,-0.24186796873358596,True,1.0,0.10950274410022183
GLP1,sparse,10,shrink_mean,-1.1715684059062057,-0.5372289506622009,-0.811893484472535,-0.2625644168518669,True,1.0,0.14908859930893298
GLP1,sparse,11,nma,-1.1715684059062057,-0.5739613188653108,-0.9189236415642537,-0.22899899616636787,True,,
GLP1,sparse,11,borrow,-1.1715684059062057,-0.5984025259645256,-0.7734842775592653,-0.4233207743697859,True,1.0,0.2629915285944123
GLP1,sparse,11,shrink_mean,-1.1715684059062057,-0.5874428816032747,-0.7667008461507627,-0.40818491705578674,True,1.0,0.43865032269953375
GLP1,sparse,12,nma,-1.1715684059062057,-0.786429962999371,-1.095003962271247,-0.4778559637274949,True,,
GLP1,sparse,12,borrow,-1.1715684059062057,-0.695244903195355,-0.9081993850603056,-0.48229042133040445,True,0.8093077806269589,1.4231519770119747
GLP1,sparse,12,shrink_mean,-1.1715684059062057,-0.6913654139655862,-0.914668046321534,-0.4680627816096383,True,0.5274627522029045,2.279354056125355
GLP1,sparse,13,nma,-1.1715684059062057,-1.5662826849721543,-1.8747469885460069,-1.2578183813983017,True,,
GLP1,sparse,13,borrow,-1.1715684059062057,-1.1975323627760341,-2.4612089082406503,0.06614418268858202,True,0.07607925013340182,6.151959434168597
GLP1,sparse,13,shrink_mean,-1.1715684059062057,-1.1683005411210168,-2.438243274667178,0.10164219242514405,True,0.059128907740578156,6.656070682980352
