target,regime,method,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
DPP4,rich,borrow,300,-0.004611537683806819,0.05227478046024227,1.0,0.347,0.2038,0.953
DPP4,rich,nma,300,0.0006895960551843687,0.05347661334013448,1.0,0.4683,0.2097,0.973
DPP4,rich,shrink_mean,300,0.0008333123599209647,0.05325609234388485,0.99,0.3238,0.2182,0.973
DPP4,sparse,borrow,300,-0.012407924688501767,0.14034725604365728,0.923,0.5786,0.4925,0.927
DPP4,sparse,nma,300,0.00011153113296127041,0.1519102954030052,1.0,0.967,0.5385,0.927
DPP4,sparse,shrink_mean,300,0.004634776321639908,0.1345208883301597,0.85,0.5414,0.4821,0.947
GLP1,rich,borrow,300,0.18214941320409742,0.26112289342339245,0.953,1.26,0.8623,0.947
GLP1,rich,nma,300,0.017656086129010245,0.16056427771131984,0.753,0.3897,0.5865,0.927
GLP1,rich,shrink_mean,300,0.1761154767695307,0.26578718708380644,0.953,1.2338,0.8876,0.947
GLP1,sparse,borrow,300,0.21878886487723737,0.4928959786200435,0.57,1.1079,1.5955,0.947
GLP1,sparse,nma,300,-0.021315078033403014,0.4180474808597107,0.523,0.6205,1.6585,0.967
GLP1,sparse,shrink_mean,300,0.22665612532865556,0.5018880749774177,0.463,1.064,1.5862,0.947
SGLT2,rich,borrow,300,-0.013494001535473543,0.03141404858075285,1.0,0.3412,0.1243,0.933
SGLT2,rich,nma,300,-0.000713943040452872,0.036288546848482456,1.0,0.5135,0.1332,0.94
SGLT2,rich,shrink_mean,300,-0.019737610681436656,0.03370449315896548,1.0,0.3968,0.1331,0.933
SGLT2,sparse,borrow,300,-0.03370066248417745,0.09447672017631936,0.93,0.5208,0.4569,0.993
SGLT2,sparse,nma,300,-0.00865223873954252,0.10933364528200207,1.0,1.2066,0.4516,0.98
SGLT2,sparse,shrink_mean,300,-0.04026555795474851,0.09476530536748234,0.93,0.5653,0.4591,0.993
