mortality,study,country,strata,vaccine,period,follow_up_end,follow_up_mid,cases_placebo,N_placebo,cases_vaccine,N_vaccine
High,RV1 Colgate 2016 - Bangladesh,Bangladesh,Asia,Rotarix,Period 1,8.076923077,4.038461538,34.916,301,9.052,292
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,7.661538462,3.830769231,38,483,21,525
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 2,15.58153846,7.790769231,15,483,17,525
High,RV1 Madhi 2010-ZAFMWI,South Africa,Africa,Rotarix,Period 1,7.661538462,3.830769231,9,408,5,418
High,RV1 Madhi 2012-ZAF,South Africa,Africa,Rotarix,Period 2,15.58153846,7.790769231,4,408,4,418
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 1,7.661538462,3.830769231,38,483,20,505
High,RV1 Cunliffe 2012-MWI,Malawi,Africa,Rotarix,Period 2,15.58153846,7.790769231,15,483,12,505
High,RV1 Madhi 2010-ZAFMWI,South Africa,Africa,Rotarix,Period 1,7.661538462,3.830769231,9,408,1,425
High,RV1 Madhi 2012-ZAF,South Africa,Africa,Rotarix,Period 2,15.58153846,7.790769231,4,408,1,425
High,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 1,7.984615385,3.992307692,31,565,17,563
High,RV5 Zaman 2010-BGD,Bangladesh,Asia,Rotateq,Period 2,14.66958904,7.334794521,25,565,16,563
High,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 1,8.030769231,4.015384615,42,1081,15,1081
High,RV5 Armah 2010-Africa,Ghana,Africa,Rotateq,Period 2,14.51835616,7.259178082,15,1081,11,1081
High,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 1,8.053846154,4.026923077,12,611,2,610
High,RV5 Armah 2010-Africa,Kenya,Africa,Rotateq,Period 2,12.30575342,6.152876712,2,611,3,610
High,RV5 Armah 2010-Africa,Mali,Africa,Rotateq,Period 1,8.469230769,4.234615385,4,921,4,921
High,RV5 Armah 2010-Africa,Mali,Africa,Rotateq,Period 2,14.88986301,7.444931507,54,921,44,921
High,ROTASIL - Insanaka- Niger,Niger,Africa,Rotasil,Period 1,5.630769231,2.815384615,87,1728,31,1780
