method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,500,-0.004185752223992226,0.14795611594452043,0.978,0.675212753770894,0.6265736963823333,0.96,0.5700502296695036,0.956,0.8528483799801083
adaptshrink,2,500,-0.0027020880040964606,0.24173061354874756,0.878,0.7652445725363021,1.0016956603283238,0.968,1.1073097192259587,0.972,1.4457132691261898
adaptshrink,3,500,0.012962088989975638,0.14974614610537806,0.962,0.6696365600083314,0.5579128759306924,0.928,0.5989092906507852,0.94,0.8891352703876885
adaptshrink,4,500,0.0004786371318723783,0.2326128858444815,0.892,0.7700065558123538,0.8844031911043039,0.94,0.9335564608765716,0.928,1.2045562107043568
adaptshrink,5,500,0.003868136038927167,0.14833263232177551,0.976,0.662978793579708,0.5985362241587693,0.932,0.5972932443824727,0.956,0.9001698146457187
common_DL,1,500,-0.003224814907054626,0.14832100713789678,0.98,0.706996223159618,0.5945348481578194,0.944,0.5959925606675516,0.956,0.8444177298321757
common_DL,2,500,-0.0037368247245168186,0.2408756252610878,0.846,0.703393703129306,0.9946532808350809,0.968,1.0488762649593006,0.96,1.4778982809253898
common_DL,3,500,0.014824894943913392,0.1498834152017513,0.96,0.6963596760018629,0.5889006295362695,0.948,0.6653407820808458,0.952,0.9478427736343624
common_DL,4,500,0.0010916335364140961,0.22842508934611305,0.862,0.7060265054008267,0.9512200558892515,0.964,0.9584344928248122,0.952,1.34454819145118
common_DL,5,500,0.0036880744225221774,0.15231283580795657,0.98,0.6932785103502233,0.6085606324661014,0.932,0.6371487029327983,0.96,0.9190975933290975
comp_specific,1,500,-0.004745532951019834,0.14953439729163207,0.964,0.6051905825207304,0.6146834815075094,0.952,0.5557582542480125,0.956,0.9356154109210941
comp_specific,2,500,-0.0014707188843609748,0.24616997762459317,0.88,0.8077255300737121,1.0193153169203641,0.968,1.070126536759139,0.936,1.3345446710356719
comp_specific,3,500,0.01014824950332832,0.1496140741792453,0.958,0.6027250750111246,0.5780740596224164,0.948,0.5584378719152099,0.94,0.924619568819437
comp_specific,4,500,-0.0013253844262422717,0.238719540962213,0.884,0.813553538431398,0.9072456942830853,0.936,0.9866103937867573,0.904,1.2079760262547221
comp_specific,5,500,0.003345124358420467,0.14619202995034625,0.946,0.5893345568730565,0.5769801199445902,0.932,0.5997624786740093,0.952,1.0120540043026804
