rep,method,contrast,d_hat,ci_low,ci_high,d_true
0,common_DL,1,-0.6746558257921714,-1.079263550569236,-0.2700481010151068,-0.47984419726469013
0,common_DL,2,-0.5446523813279571,-0.9019461979574059,-0.1873585646985083,-0.7385648344140212
0,common_DL,3,0.13662186888057837,-0.42529806617463395,0.6985418039357907,0.5430229466666565
0,common_DL,4,-0.24845144274953096,-0.7404291275204564,0.2435262420213945,-0.26100773826068624
0,common_DL,5,-0.644363309943745,-1.011471426275031,-0.2772551936124589,-0.5842538586727175
0,comp_specific,1,-0.6551260973447686,-0.8127206567291925,-0.49753153796034466,-0.47984419726469013
0,comp_specific,2,-0.5495803752157266,-1.1087373513487906,0.009576600917337585,-0.7385648344140212
0,comp_specific,3,0.1391497620810862,-0.21552370221288697,0.4938232263750594,0.5430229466666565
0,comp_specific,4,-0.27468481109727766,-0.5177948729978123,-0.03157474919674291,-0.26100773826068624
0,comp_specific,5,-0.6189987875719257,-0.7921989397344639,-0.4457986354093876,-0.5842538586727175
0,adaptshrink,1,-0.6698417471209549,-0.9970985988870285,-0.3425848953548813,-0.47984419726469013
0,adaptshrink,2,-0.5476557909048341,-1.0177331965263519,-0.07757838528331623,-0.7385648344140212
0,adaptshrink,3,0.13717980799647256,-0.36946228428627736,0.6438219002792225,0.5430229466666565
0,adaptshrink,4,-0.25430814326599394,-0.6831005375311787,0.1744842509991908,-0.26100773826068624
0,adaptshrink,5,-0.6346119137419468,-0.923803882749743,-0.34541994473415066,-0.5842538586727175
1,common_DL,1,0.5501916447432406,0.235270596808489,0.8651126926779922,0.5801944832908739
1,common_DL,2,-0.07411682932939817,-0.48496208987668343,0.3367284312178871,-0.6820236309017158
1,common_DL,3,-0.9782233576777603,-1.384486791605891,-0.5719599237496296,-0.8730054407555423
1,common_DL,4,-0.06557597955333794,-0.4360066840094472,0.3048547249027713,0.06937069830772365
1,common_DL,5,-0.5795145598542359,-0.932358898827695,-0.22667022088077687,-0.7411351604299211
1,comp_specific,1,0.5429962839731157,0.26829881718958876,0.8176937507566426,0.5801944832908739
1,comp_specific,2,-0.15724207137763888,-0.8228158348952315,0.5083316921399537,-0.6820236309017158
1,comp_specific,3,-0.9779279938765952,-1.386443154958927,-0.5694128327942636,-0.8730054407555423
1,comp_specific,4,-0.07485149638047245,-0.28848312572542534,0.13878013296448044,0.06937069830772365
1,comp_specific,5,-0.5886669472834739,-0.9766988087974608,-0.2006350857694869,-0.7411351604299211
1,adaptshrink,1,0.5472234917694462,0.25126018921000887,0.8431867943288835,0.5801944832908739
1,adaptshrink,2,-0.1226114143686785,-0.6389387867876526,0.3937159580502956,-0.6820236309017158
1,adaptshrink,3,-0.9780960825220849,-1.3853263334072214,-0.5708658316369485,-0.8730054407555423
1,adaptshrink,4,-0.06872941092559606,-0.39941181400556514,0.26195299215437295,0.06937069830772365
1,adaptshrink,5,-0.5838123343937012,-0.9522165752402141,-0.21540809354718826,-0.7411351604299211
2,common_DL,1,-0.32273493227274375,-0.6897832727718807,0.044313408226393125,-0.4201300159973277
2,common_DL,2,-0.046064568849046805,-0.3096585927956194,0.2175294550975258,0.1463502418983874
2,common_DL,3,-0.902256459740038,-1.1748998003924473,-0.6296131190876287,-1.0942927927080424
2,common_DL,4,0.04787963462836148,-0.27961415684210933,0.3753734260988323,0.11190861734140273
2,common_DL,5,-0.09353615272193516,-0.41423945437968224,0.2271671489358119,0.08932205811847337
2,comp_specific,1,-0.33763609150650686,-0.6534246585283959,-0.021847524484617797,-0.4201300159973277
2,comp_specific,2,-0.04507146296767889,-0.39728560195111645,0.3071426760157587,0.1463502418983874
2,comp_specific,3,-0.9087710734974881,-1.1983480609751758,-0.6191940860198005,-1.0942927927080424
2,comp_specific,4,0.04543330851029928,-0.24983559544389647,0.34070221246449506,0.11190861734140273
2,comp_specific,5,-0.09011472445219118,-0.3728595350226942,0.1926300861183118,0.08932205811847337
2,adaptshrink,1,-0.3268459643067313,-0.6779665862246044,0.02427465761114178,-0.4201300159973277
2,adaptshrink,2,-0.043150116157019,-0.3493423496367122,0.26304211732267413,0.1463502418983874
2,adaptshrink,3,-0.9046066463804984,-1.1830433166340557,-0.626169976126941,-1.0942927927080424
2,adaptshrink,4,0.04657433128737282,-0.265396015842884,0.35854467841762966,0.11190861734140273
2,adaptshrink,5,-0.09223820590026993,-0.3973089088389988,0.2128324970384589,0.08932205811847337
3,common_DL,1,0.2167508382705718,-0.0736277452881357,0.5071294218292792,0.35983085946123233
3,common_DL,2,-0.3904973901877332,-0.7009596099957203,-0.08003517037974611,-0.1429309700145114
3,common_DL,3,0.006891735251162065,-0.25741787703214253,0.2712013475344666,0.04743562128196021
3,common_DL,4,-0.3989840442524793,-0.6569218508479122,-0.14104623765704644,-0.33213724614276924
3,common_DL,5,0.5405448397665077,0.30193898993015994,0.7791506896028555,0.5060265149205233
3,comp_specific,1,0.24302305944446986,0.090273964130859,0.3957721547580807,0.35983085946123233
3,comp_specific,2,-0.44736012843110134,-1.016094854531354,0.12137459766915132,-0.1429309700145114
3,comp_specific,3,0.023256965522336318,-0.29599139699784843,0.34250532804252104,0.04743562128196021
3,comp_specific,4,-0.40364752275582966,-0.6511325272898482,-0.15616251822181113,-0.33213724614276924
3,comp_specific,5,0.5501352936450017,0.4045197546671424,0.695750832622861,0.5060265149205233
3,adaptshrink,1,0.22309122428659234,-0.03183623450843076,0.47801868308161544,0.35983085946123233
3,adaptshrink,2,-0.4341696722227163,-0.8778739675099558,0.009534623064523295,-0.1429309700145114
3,adaptshrink,3,0.015378002952614753,-0.2739794615036838,0.30473546740891333,0.04743562128196021
3,adaptshrink,4,-0.40123307752696724,-0.6540227678545305,-0.14844338719940392,-0.33213724614276924
3,adaptshrink,5,0.5441941699650885,0.34483818451033843,0.7435501554198386,0.5060265149205233
4,common_DL,1,0.5857636776530053,0.2604958070538503,0.9110315482521603,0.5443074354430172
4,common_DL,2,0.38743508028741347,0.0674286516635722,0.7074415089112547,0.6134991567750318
4,common_DL,3,0.7414262843940569,0.4537430357690588,1.029109533019055,0.9314723552257497
4,common_DL,4,-0.004744331667490109,-0.2671918283281887,0.2577031649932085,-0.4167850688379317
4,common_DL,5,0.4695478417598121,0.19372128655216242,0.7453743969674618,0.4866371039641779
4,comp_specific,1,0.5548259666497727,0.37570974261743756,0.7339421906821078,0.5443074354430172
4,comp_specific,2,0.3974937207500184,0.18515197559893115,0.6098354659011056,0.6134991567750318
4,comp_specific,3,0.7758631292188112,0.5826252265211137,0.9691010319165086,0.9314723552257497
4,comp_specific,4,-0.08044646834360608,-0.5164526642216649,0.3555597275344528,-0.4167850688379317
4,comp_specific,5,0.4565730672388534,0.2357834194833899,0.6773627149943169,0.4866371039641779
4,adaptshrink,1,0.5777886291161755,0.29087113261373015,0.8647061256186208,0.5443074354430172
4,adaptshrink,2,0.3895954675245363,0.106521239455304,0.6726696955937685,0.6134991567750318
4,adaptshrink,3,0.7535148181973679,0.5055034429554719,1.0015261934392639,0.9314723552257497
4,adaptshrink,4,-0.05986468433816766,-0.42199826235609633,0.302268893679761,-0.4167850688379317
