cell,tau,selection,n,ncontrast,reps,nscored,dMCIW0,dMCIW0_lo,dMCIW0_hi,MCIW0_robust,dMCIW,dMCIW_lo,dMCIW_hi,MCIW_robust,mciw0_auto,mciw0_DL,bias_auto,bias_DL,rawcov_auto,rawcov_DL,covunif_auto,covunif_DL,spearman_auto,spearman_DL,top1_auto,top1_DL,secs,d_rawcov
t05_moderate_n5,0.05,moderate,5,4,600,600,0.004769927690055353,-0.0018835173238836626,0.016641864668060845,False,0.01402835375481809,-0.0006233924571612925,0.02058807869785301,False,0.2818535707504619,0.26736922660496054,0.021741269094166158,0.025531993590884434,0.9320833333333334,0.9249999999999999,0.01874999999999999,0.024999999999999967,0.9669999999999999,0.9686666666666666,0.9566666666666667,0.9616666666666667,97.6,0.007083333333333441
t05_moderate_n6,0.05,moderate,6,5,600,600,-0.0003543920427321601,-0.006323140719086758,0.00840603434745384,False,-0.0006338070091127801,-0.006347340236657118,0.009282720103578253,False,0.24539136610512205,0.24329332054008068,0.017463964790288545,0.02214415575139731,0.929,0.9146666666666666,0.020999999999999953,0.03533333333333326,0.9698095238095239,0.9705714285714286,0.935,0.9366666666666666,142.8,0.01433333333333342
t05_moderate_n8,0.05,moderate,8,7,600,600,-0.005509987812082673,-0.010890673001877807,0.0015525092606195822,False,-0.0009107996013779651,-0.00763845505596459,0.0048378798791829675,False,0.21026773115361252,0.21430466853835634,0.016027605649225177,0.023834277105126676,0.9366666666666665,0.9154761904761906,0.01619047619047617,0.03452380952380948,0.9813492063492064,0.9811111111111113,0.9466666666666667,0.94,247.2,0.021190476190475982
t05_moderate_n10,0.05,moderate,10,9,600,600,-0.004397297841969489,-0.0080776893678472,0.0008199124327927286,False,-0.0016083093041968921,-0.006443651831609346,0.003445723412794702,False,0.18813522440502287,0.18940261966821734,0.015003507205542626,0.022481639866203915,0.9200000000000002,0.894814814814815,0.03444444444444439,0.057777777777777733,0.9862222222222221,0.9860202020202018,0.9466666666666667,0.9533333333333334,411.9,0.0251851851851852
t05_moderate_n12,0.05,moderate,12,11,600,600,-0.005245673937803869,-0.009990682529083326,-0.0007103144989274544,True,-0.004424334063204027,-0.009118962373909393,-0.00033905116162185326,True,0.17345891639554264,0.17609026522351448,0.013912109119471829,0.023098416274179443,0.9248484848484847,0.8889393939393938,0.027272727272727237,0.06166666666666664,0.9898135198135198,0.9894988344988347,0.9516666666666667,0.95,781.6,0.03590909090909089
t10_moderate_n5,0.1,moderate,5,4,600,600,0.0010408200510908516,-0.005966878095434803,0.01172076813513906,False,0.014352481090469826,0.0038343067965090935,0.023500375876457383,False,0.30690030178571515,0.3086944524201677,0.026912445046523105,0.031474607000645305,0.9170833333333333,0.9087500000000001,0.03291666666666662,0.04124999999999995,0.9611666666666665,0.9594999999999999,0.945,0.9416666666666667,81.8,0.008333333333333193
t10_moderate_n6,0.1,moderate,6,5,600,600,-0.0016342344423581623,-0.006327836420037454,0.009098630555584249,False,0.004057549890401357,-0.007456346701375377,0.01163124440403256,False,0.278437438325562,0.2734195947319233,0.021750538266760995,0.027282112136481677,0.9146666666666666,0.901,0.035333333333333286,0.048999999999999974,0.9682857142857144,0.9686666666666668,0.9366666666666666,0.935,122.1,0.013666666666666605
t10_moderate_n8,0.1,moderate,8,7,600,600,-0.006240488306000269,-0.014984941240731263,0.0007834054397685415,False,-0.004836153489573364,-0.011400609974392274,0.005239041043902617,False,0.23706561658777803,0.24650139540757593,0.022149351293060688,0.030155784644411304,0.9269047619047619,0.8992857142857142,0.023571428571428545,0.05071428571428566,0.9788888888888889,0.9792460317460318,0.9266666666666666,0.9316666666666666,252.6,0.027619047619047654
t10_moderate_n10,0.1,moderate,10,9,600,600,-0.004492555307328588,-0.009091700356599614,0.0008207123692134463,False,-0.0008542101851850559,-0.005384441818762809,0.005109524795694955,False,0.21664557231687875,0.2201212845103876,0.01956321999561106,0.027864962965315,0.9051851851851852,0.8761111111111111,0.04481481481481478,0.07388888888888884,0.9838989898989897,0.9837373737373738,0.9466666666666667,0.9483333333333334,568.1,0.02907407407407414
t10_moderate_n12,0.1,moderate,12,11,600,600,-0.010037240969583028,-0.01468979401432909,-0.0046281658894490926,True,-0.008563802988555608,-0.013885010345760347,-0.0030913875832656603,True,0.19488578798381415,0.20359060739542786,0.018468074607587495,0.028819343551727605,0.9143939393939392,0.8763636363636365,0.03590909090909087,0.0736363636363636,0.9882051282051284,0.9873193473193473,0.9466666666666667,0.9433333333333334,857.3,0.03803030303030275
t20_moderate_n5,0.2,moderate,5,4,600,600,-0.00602434778121419,-0.01584758774422371,0.008494391644475175,False,0.037642851770393726,0.013127711104495584,0.04458721267855951,False,0.4171967833173615,0.42263366010801734,0.043861532057377056,0.05058117576591651,0.8883333333333333,0.885,0.06166666666666662,0.06499999999999997,0.9484999999999999,0.9448333333333333,0.9216666666666666,0.92,93.4,0.0033333333333332993
t20_moderate_n6,0.2,moderate,6,5,600,600,0.007028235675258898,-0.003994822735629684,0.014778747446665588,False,0.016833179531936804,0.0019911754056223517,0.02864100759053978,False,0.3734268034643225,0.3653534770195843,0.03650845956216758,0.044400824968386564,0.8913333333333334,0.8779999999999999,0.058666666666666624,0.07199999999999998,0.9562857142857143,0.955904761904762,0.93,0.9266666666666666,144.6,0.01333333333333353
t20_moderate_n8,0.2,moderate,8,7,600,600,-0.0058030489629382065,-0.01634740418379997,0.0015213317765078254,False,-0.0011500678158982147,-0.010145723553373977,0.009132589779543438,False,0.32364961035988615,0.33532105917928373,0.0392736239185752,0.049937082854062,0.8859523809523809,0.8576190476190476,0.064047619047619,0.09238095238095234,0.9709920634920635,0.968968253968254,0.8983333333333333,0.9033333333333333,246.6,0.02833333333333332
