method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,1000,-0.030942933868073168,0.07782529858504009,0.89,0.2449308760584131,0.3228225490097256,0.958,0.3129448460015873,0.96,1.2756731817213467
adaptshrink,2,1000,-0.04022702044875321,0.0824639134404353,0.856,0.2451804126934626,0.30712951250222975,0.924,0.3020872657249037,0.934,1.2371993416999638
adaptshrink,3,1000,-0.05589281040549134,0.091260209043215,0.832,0.24495835443866246,0.3489332152222518,0.95,0.3448398505861529,0.954,1.4070536753317573
adaptshrink,4,1000,-0.06531604638866835,0.09827071482895372,0.777,0.2468262474254618,0.3602429789064122,0.93,0.35213100884640663,0.928,1.420616492136261
adaptshrink,5,1000,-0.07885626781650988,0.10765503826099175,0.722,0.24810628035902313,0.38864560239352886,0.944,0.4040695447774128,0.962,1.6274974736109142
adaptshrink,6,1000,-0.08953528068288241,0.12014218201207322,0.652,0.2526771238289167,0.4328119978687764,0.956,0.43796878162134617,0.962,1.7469731753245354
adaptshrink,7,1000,-0.10288258901921363,0.1288595225317304,0.607,0.25849054965343227,0.467019759788674,0.952,0.4522591742775462,0.958,1.7627112965108733
adaptshrink,8,1000,-0.11563853507375646,0.14301743538670167,0.567,0.26605094713545036,0.526879034400814,0.956,0.49751826603459903,0.942,1.8891969259666672
adaptshrink,9,1000,-0.1292059316102874,0.1536634434193936,0.5,0.2735702718038316,0.5095152941216726,0.926,0.5305425183553529,0.934,1.952514866549541
adaptshrink_auto,1,1000,-0.023107453828768127,0.07244593399998918,0.944,0.27913437003501745,0.3005798347564234,0.972,0.30613017662200265,0.974,1.0841712393227112
adaptshrink_auto,2,1000,-0.023311830800833898,0.07486533188320066,0.937,0.28102987577501554,0.295711517920486,0.956,0.3011691791658775,0.95,1.0667463726770678
adaptshrink_auto,3,1000,-0.030316778407555853,0.07863975799410608,0.925,0.28221867790891086,0.3185925878027764,0.96,0.31928008434178784,0.956,1.12145061095107
adaptshrink_auto,4,1000,-0.0326846079813957,0.08131733208741902,0.915,0.2864707713257219,0.3161186149100025,0.952,0.33423017818177003,0.958,1.1539480814792518
adaptshrink_auto,5,1000,-0.038032986625668584,0.08562993714811408,0.897,0.28997596345144727,0.3347670830661853,0.956,0.3452768955501302,0.958,1.183415934204567
adaptshrink_auto,6,1000,-0.04056897093665386,0.09114741647843029,0.895,0.29753167081076654,0.3840321508015334,0.976,0.40305578014965837,0.974,1.352916991001277
adaptshrink_auto,7,1000,-0.04615773200738798,0.0943182637362572,0.886,0.3067941589428692,0.3798451782743261,0.954,0.3912083792792298,0.956,1.2745878202929906
