key,area,tier,measure,k_total,k_pool,cov_fixed_pct,cov_re_pct,pub_conclusion,pub_est,repro_std_conclusion,repro_std_est,reproduced,house_conclusion,house_agrees_pub,r_star,rho_missing_fixed,rho_missing_re,verdict,why
sglt2_cvot,cardiometabolic,extraction,HR,3,3,100.0,100.0,benefit,0.89,benefit,0.892,True,null,False,1.64,0.0,0.0,ROBUST,reproduced; missing/poolable weight rho=0.00 < breakdown r*=1.64 (dilution/reversal) -> cannot overturn [house REML+HKSJ is more conservative: null]
glp1_cvot,cardiometabolic,extraction,HR,7,7,100.0,100.0,benefit,0.88,benefit,0.874,True,benefit,True,5.54,0.0,0.0,ROBUST,reproduced; missing/poolable weight rho=0.00 < breakdown r*=5.54 (dilution/reversal) -> cannot overturn
dpp4_cvot,cardiometabolic,extraction,OR,4,4,100.0,100.0,null,0.99,null,0.993,True,null,True,10.63,0.0,0.0,ROBUST,reproduced; missing/poolable weight rho=0.00 < breakdown r*=10.63 (manufacture-effect) -> cannot overturn
io_nsclc_os,oncology,extraction,HR,5,5,100.0,100.0,benefit,0.71,benefit,0.706,True,benefit,True,11.57,0.0,0.0,ROBUST,reproduced; missing/poolable weight rho=0.00 < breakdown r*=11.57 (dilution/reversal) -> cannot overturn
cdk46_pfs,oncology,extraction,HR,3,3,100.0,100.0,benefit,0.55,benefit,0.559,True,benefit,True,16.2,0.0,0.0,ROBUST,reproduced; missing/poolable weight rho=0.00 < breakdown r*=16.20 (dilution/reversal) -> cannot overturn
parp_ovarian_pfs,oncology,extraction,HR,4,4,100.0,100.0,benefit,0.53,benefit,0.531,True,benefit,True,27.26,0.0,0.0,ROBUST,reproduced; missing/poolable weight rho=0.00 < breakdown r*=27.26 (dilution/reversal) -> cannot overturn
iv_mg_mi,cardiometabolic,coverage,OR,22,2,90.0,25.2,benefit,0.579,null,1.05,False,null,False,,,,NOT_REPRODUCED,open-subset 'null' != published 'benefit' — cause: coverage (25% of RE weight open; missing trials carry the signal)
bcg_tb,infectious,coverage,RR,13,6,71.2,55.8,benefit,0.489,null,0.658,False,null,False,,,,NOT_REPRODUCED,open-subset 'null' != published 'benefit' — cause: coverage (56% of RE weight open; missing trials carry the signal)
hypericum_dep,psychiatry,coverage,OR,9,1,26.8,17.5,benefit,2.02,benefit,1.833,True,benefit,True,0.52,2.73,4.72,FRAGILE,reproduced; missing/poolable weight rho=2.73 >= breakdown r*=0.52 (dilution/reversal) -> could overturn
metformin_hba1c,cardiometabolic,coverage,MD,4,1,62.0,29.7,benefit,-1.131,benefit,-0.82,True,benefit,True,16.79,0.61,2.37,ROBUST,reproduced; missing/poolable weight rho=0.61 < breakdown r*=16.79 (dilution/reversal) -> cannot overturn
