nct_id,drug_class,published,abs_md_pct
NCT00641056,GLP1,1,0.16
NCT00641056,insulin,1,0.16
NCT00666458,DPP4,0,0.09
NCT05785832,insulin,1,0.6
NCT00482729,metformin,1,0.6
NCT00482729,DPP4,1,0.6
NCT03882970,GLP1,1,1.04
NCT03882970,insulin,1,1.04
NCT03882970,GLP1,1,0.59
NCT03882970,insulin,1,0.59
NCT00328627,DPP4,1,0.53
NCT00328627,TZD,1,0.53
NCT00328627,DPP4,1,0.61
NCT00328627,TZD,1,0.61
NCT02284893,SGLT2,0,0.34
NCT02284893,DPP4,0,0.34
NCT04093752,GLP1,1,1.54
NCT04093752,insulin,1,1.54
NCT04093752,GLP1,1,1.29
NCT04093752,insulin,1,1.29
NCT02413398,SGLT2,1,0.34
NCT00147745,insulin,0,0.97
NCT00870194,DPP4,1,0.3
NCT00870194,GLP1,1,0.3
NCT00856284,metformin,1,0.09
NCT00856284,DPP4,1,0.09
NCT00856284,SU,1,0.09
NCT00856284,metformin,1,0.09
NCT00856284,DPP4,1,0.09
NCT00856284,SU,1,0.09
NCT01537120,DPP4,0,0.3
NCT01537120,DPP4,0,0.46
NCT02725593,SGLT2,1,0.75
NCT02512068,DPP4,0,0.72
NCT01584232,SU,1,0.54
NCT01584232,insulin,1,0.54
NCT02273050,metformin,1,0.213
NCT02273050,DPP4,1,0.213
NCT01798706,GLP1,1,0.64
NCT05963022,GLP1,0,1.26
NCT00894322,GLP1,0,0.95
NCT02973100,GLP1,0,0.96
NCT00918879,DPP4,1,0.46
NCT01589445,metformin,0,0.64
NCT01589445,TZD,0,0.64
NCT00935532,GLP1,1,0.43
NCT00935532,insulin,1,0.43
NCT00975286,metformin,1,0.32
NCT00975286,GLP1,1,0.32
NCT00975286,insulin,1,0.32
NCT02963766,GLP1,1,1.3
NCT02963766,GLP1,1,1.5
NCT01451398,insulin,1,0.4
NCT01590797,metformin,1,0.34
NCT01590797,DPP4,1,0.34
NCT01590797,insulin,1,0.34
NCT01590797,metformin,1,0.38
NCT01590797,DPP4,1,0.38
NCT01590797,insulin,1,0.38
NCT00127192,DPP4,1,0.69
NCT02002221,metformin,1,0.91
NCT02002221,DPP4,1,0.91
NCT02002221,insulin,1,0.91
NCT00357370,SGLT2,1,0.78
NCT00548808,insulin,1,0.04
NCT01769378,GLP1,1,1.27
NCT01769378,SU,1,1.27
NCT01499082,insulin,1,0.0
NCT01499082,insulin,1,0.05
NCT02227875,insulin,1,0.06
NCT03882970,GLP1,1,0.86
NCT03882970,insulin,1,0.86
NCT00328627,DPP4,1,0.54
NCT00328627,TZD,1,0.54
NCT00328627,DPP4,1,0.7
NCT00328627,TZD,1,0.7
NCT04093752,GLP1,1,1.49
NCT04093752,insulin,1,1.49
NCT00147745,insulin,0,0.52
NCT00856284,metformin,1,0.03
NCT00856284,DPP4,1,0.03
NCT00856284,SU,1,0.03
NCT00856284,metformin,1,0.13
NCT00856284,DPP4,1,0.13
NCT00856284,SU,1,0.13
NCT02273050,metformin,1,0.885
NCT02273050,DPP4,1,0.885
NCT05963022,GLP1,0,0.98
NCT02973100,GLP1,0,0.87
NCT02963766,GLP1,1,1.0
NCT00127192,DPP4,1,0.99
NCT00357370,SGLT2,1,0.7
NCT00328627,DPP4,1,0.55
NCT00328627,TZD,1,0.55
NCT00147745,insulin,0,0.45
NCT05963022,GLP1,0,1.42
NCT02973100,GLP1,0,0.8
NCT00127192,DPP4,1,0.96
NCT00328627,DPP4,1,0.91
NCT00328627,TZD,1,0.91
NCT00127192,DPP4,1,1.04
NCT00328627,DPP4,1,0.47
NCT00328627,TZD,1,0.47
NCT00328627,DPP4,1,0.49
NCT00328627,TZD,1,0.49
NCT00328627,DPP4,1,0.47
NCT00328627,TZD,1,0.47
NCT00328627,DPP4,1,0.76
NCT00328627,TZD,1,0.76
NCT00328627,DPP4,1,0.52
NCT00328627,TZD,1,0.52
NCT00328627,DPP4,1,0.37
NCT00328627,TZD,1,0.37
NCT00328627,DPP4,1,0.59
NCT00328627,TZD,1,0.59
NCT00328627,DPP4,1,0.7
NCT00328627,TZD,1,0.7
NCT01704261,metformin,1,0.61
NCT01704261,DPP4,1,0.61
NCT01704261,SU,1,0.61
NCT05048719,GLP1,1,1.67
NCT05048719,GLP1,1,1.0
NCT03211858,insulin,1,0.08
NCT00541775,metformin,0,0.51
NCT00541775,DPP4,0,0.51
NCT00541775,TZD,0,0.51
NCT01028391,metformin,1,0.51
NCT01028391,DPP4,1,0.51
NCT01028391,TZD,1,0.51
NCT01621178,GLP1,1,0.02
NCT01621178,insulin,1,0.02
NCT00736879,SGLT2,1,0.84
NCT01864174,metformin,0,0.03
NCT01648582,metformin,1,0.18
NCT01648582,GLP1,1,0.18
NCT01648582,SU,1,0.18
NCT01648582,insulin,1,0.18
NCT01648582,metformin,1,0.13
NCT01648582,GLP1,1,0.13
NCT01648582,SU,1,0.13
NCT01648582,insulin,1,0.13
NCT02769481,SGLT2,0,0.05
NCT02769481,SU,0,0.05
NCT00676338,metformin,1,0.37
NCT00676338,DPP4,1,0.37
NCT00676338,GLP1,1,0.37
NCT00676338,TZD,1,0.37
NCT04881110,GLP1,1,0.4
NCT01773473,insulin,1,0.17
NCT00673231,SGLT2,1,0.6
NCT01558271,GLP1,1,0.1
NCT01558271,GLP1,1,0.2
NCT01095653,metformin,0,0.82
NCT01095653,SGLT2,0,0.82
NCT02354235,SGLT2,1,0.88
NCT02354235,DPP4,1,0.88
NCT00637273,DPP4,1,0.32
NCT00637273,GLP1,1,0.32
NCT00637273,TZD,1,0.32
NCT02354222,SGLT2,1,0.94
NCT02354222,DPP4,1,0.94
NCT00680745,metformin,1,0.68
NCT00680745,SGLT2,1,0.68
NCT00680745,SU,1,0.68
NCT00680745,TZD,1,0.68
