cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k10_thr,none,adaptshrink_dta,300,-0.1502,-0.059,0.3433,0.783,0.7267,1.1327,0.967,1.726,1.2299,0.913
k10_thr,none,reitsma,300,-0.1432,-0.0586,0.3408,0.72,0.6228,1.1108,0.96,2.341,1.4158,0.947
k10_thr,none,reitsma_indep,300,-0.1708,-0.0635,0.3547,0.733,0.691,1.2046,0.96,1.986,1.3446,0.927
k10_thr,none,sep_univariate,300,-0.1542,-0.0579,0.345,0.813,0.7856,1.1431,0.967,1.776,1.3613,0.947
k10_thr,strong,adaptshrink_dta,300,0.0608,0.0974,0.3313,0.89,0.8351,0.95,0.953,1.671,1.4477,0.98
k10_thr,strong,reitsma,300,0.072,0.0993,0.34,0.797,0.6757,0.9829,0.947,1.957,1.358,0.96
k10_thr,strong,reitsma_indep,300,0.0316,0.0897,0.3232,0.883,0.7614,0.7952,0.94,1.906,1.4909,0.967
k10_thr,strong,sep_univariate,300,0.0506,0.0967,0.3289,0.903,0.8672,0.8427,0.933,1.576,1.4122,0.973
k20_thr,none,adaptshrink_dta,300,-0.1587,-0.0569,0.2753,0.763,0.3836,0.7318,0.98,2.082,0.8022,0.947
k20_thr,none,reitsma,300,-0.1582,-0.0567,0.2751,0.687,0.344,0.7207,0.98,2.324,0.7989,0.907
k20_thr,none,reitsma_indep,300,-0.1749,-0.0639,0.2857,0.757,0.3906,0.8118,0.98,2.408,0.9501,0.96
k20_thr,none,sep_univariate,300,-0.168,-0.0629,0.2821,0.77,0.4096,0.7923,0.973,2.335,0.9669,0.96
k20_thr,strong,adaptshrink_dta,300,0.0636,0.1004,0.2603,0.883,0.4183,0.6287,0.947,1.5,0.6204,0.953
k20_thr,strong,reitsma,300,0.0681,0.1009,0.2636,0.773,0.3452,0.7068,0.96,2.041,0.6883,0.967
k20_thr,strong,reitsma_indep,300,0.0316,0.09,0.249,0.877,0.4044,0.5322,0.92,1.593,0.6351,0.947
k20_thr,strong,sep_univariate,300,0.0407,0.0931,0.2524,0.88,0.4297,0.597,0.94,1.531,0.6482,0.953
