mu,tau,k,mechanism,strength,outcome,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.1,5,none,strong,continuous,adaptshrink_petgate,0.925,True,12,0,12,0,-,True
0.0,0.1,40,copas,strong,continuous,adaptshrink_petgate,0.575,False,14,10,4,0,-,False
0.0,0.1,40,none,strong,continuous,adaptshrink_petgate,0.7,False,14,5,9,0,-,False
0.0,0.1,40,step,strong,continuous,adaptshrink_petgate,0.4,False,14,5,6,3,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.0,0.3,5,copas,strong,continuous,adaptshrink_petgate,0.875,False,13,5,8,0,-,False
0.0,0.3,5,none,strong,continuous,adaptshrink_petgate,0.95,True,13,2,11,0,-,True
0.0,0.3,5,step,strong,continuous,adaptshrink_petgate,0.65,False,14,3,10,1,trim_and_fill,False
0.0,0.3,40,copas,strong,continuous,adaptshrink_petgate,0.775,False,13,6,7,0,-,False
0.0,0.3,40,none,strong,continuous,adaptshrink_petgate,0.975,True,13,10,3,0,-,True
0.0,0.3,40,step,strong,continuous,adaptshrink_petgate,0.125,False,14,0,14,0,-,False
0.0,0.5,5,copas,strong,continuous,adaptshrink_petgate,0.875,False,13,6,7,0,-,False
0.0,0.5,5,none,strong,continuous,adaptshrink_petgate,0.95,True,13,9,4,0,-,True
0.0,0.5,5,step,strong,continuous,adaptshrink_petgate,0.65,False,14,4,10,0,-,False
0.0,0.5,40,copas,strong,continuous,adaptshrink_petgate,0.625,False,13,5,8,0,-,False
0.0,0.5,40,none,strong,continuous,adaptshrink_petgate,0.925,True,13,6,7,0,-,True
0.0,0.5,40,step,strong,continuous,adaptshrink_petgate,0.25,False,14,1,10,3,"adaptshrink_fast,trim_and_fill,vevea_hedges",False
0.2,0.1,5,copas,strong,continuous,adaptshrink_petgate,0.925,True,13,4,9,0,-,True
0.2,0.1,5,none,strong,continuous,adaptshrink_petgate,0.975,True,12,4,8,0,-,True
0.2,0.1,5,step,strong,continuous,adaptshrink_petgate,0.925,True,13,2,10,1,trim_and_fill,False
0.2,0.1,40,copas,strong,continuous,adaptshrink_petgate,0.55,False,14,4,8,2,"adaptshrink_ens,adaptshrink_ens_calib",False
0.2,0.1,40,none,strong,continuous,adaptshrink_petgate,0.75,False,14,4,10,0,-,False
0.2,0.1,40,step,strong,continuous,adaptshrink_petgate,0.425,False,14,3,7,4,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill,ubcma",False
0.2,0.3,5,copas,strong,continuous,adaptshrink_petgate,0.9,True,13,2,11,0,-,True
0.2,0.3,5,none,strong,continuous,adaptshrink_petgate,0.95,True,13,8,5,0,-,True
0.2,0.3,5,step,strong,continuous,adaptshrink_petgate,0.8,False,13,1,11,1,trim_and_fill,False
0.2,0.3,40,copas,strong,continuous,adaptshrink_petgate,0.625,False,13,7,6,0,-,False
0.2,0.3,40,none,strong,continuous,adaptshrink_petgate,0.9,True,13,7,6,0,-,True
0.2,0.3,40,step,strong,continuous,adaptshrink_petgate,0.275,False,14,2,10,2,"p_uniform_star,vevea_hedges",False
0.2,0.5,5,copas,strong,continuous,adaptshrink_petgate,0.85,False,14,6,8,0,-,False
0.2,0.5,5,none,strong,continuous,adaptshrink_petgate,0.825,False,13,6,7,0,-,False
0.2,0.5,5,step,strong,continuous,adaptshrink_petgate,0.7,False,13,6,7,0,-,False
0.2,0.5,40,copas,strong,continuous,adaptshrink_petgate,0.675,False,14,9,5,0,-,False
0.2,0.5,40,none,strong,continuous,adaptshrink_petgate,0.9,True,13,6,7,0,-,True
0.2,0.5,40,step,strong,continuous,adaptshrink_petgate,0.2,False,14,2,9,3,"p_uniform_star,trim_and_fill,vevea_hedges",False
0.5,0.1,5,copas,strong,continuous,adaptshrink_petgate,0.95,True,14,1,13,0,-,True
0.5,0.1,5,none,strong,continuous,adaptshrink_petgate,0.95,True,14,4,10,0,-,True
0.5,0.1,5,step,strong,continuous,adaptshrink_petgate,0.9,True,13,2,11,0,-,True
0.5,0.1,40,copas,strong,continuous,adaptshrink_petgate,0.625,False,14,2,12,0,-,False
0.5,0.1,40,none,strong,continuous,adaptshrink_petgate,0.675,False,14,4,10,0,-,False
0.5,0.1,40,step,strong,continuous,adaptshrink_petgate,0.65,False,14,2,9,3,"adaptshrink_ens,adaptshrink_ens_calib,ubcma",False
0.5,0.3,5,copas,strong,continuous,adaptshrink_petgate,0.875,False,13,5,8,0,-,False
0.5,0.3,5,none,strong,continuous,adaptshrink_petgate,0.95,True,14,6,8,0,-,True
0.5,0.3,5,step,strong,continuous,adaptshrink_petgate,0.85,False,13,3,10,0,-,False
0.5,0.3,40,copas,strong,continuous,adaptshrink_petgate,0.6,False,14,3,11,0,-,False
0.5,0.3,40,none,strong,continuous,adaptshrink_petgate,0.9,True,14,6,8,0,-,True
0.5,0.3,40,step,strong,continuous,adaptshrink_petgate,0.325,False,14,0,13,1,adaptshrink_fast,False
0.5,0.5,5,copas,strong,continuous,adaptshrink_petgate,0.9,True,13,3,10,0,-,True
0.5,0.5,5,none,strong,continuous,adaptshrink_petgate,0.825,False,14,2,12,0,-,False
0.5,0.5,40,copas,strong,continuous,adaptshrink_petgate,0.7,False,14,7,7,0,-,False
0.5,0.5,40,none,strong,continuous,adaptshrink_petgate,0.925,True,14,6,8,0,-,True
0.5,0.5,40,step,strong,continuous,adaptshrink_petgate,0.5,False,14,0,14,0,-,False
