mu,tau,k,mechanism,strength,outcome,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.1,5,copas,strong,continuous,adaptshrink_petgate,0.95,True,13,6,7,0,-,True
0.0,0.1,5,none,strong,continuous,adaptshrink_petgate,0.925,True,13,2,11,0,-,True
0.0,0.1,5,step,strong,continuous,adaptshrink_petgate,0.85,False,13,2,11,0,-,False
0.0,0.1,40,copas,strong,continuous,adaptshrink_petgate,0.575,False,15,10,5,0,-,False
0.0,0.1,40,none,strong,continuous,adaptshrink_petgate,0.7,False,15,5,10,0,-,False
0.0,0.1,40,step,strong,continuous,adaptshrink_petgate,0.4,False,15,5,6,4,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.0,0.3,5,copas,strong,continuous,adaptshrink_petgate,0.875,False,14,5,9,0,-,False
0.0,0.3,5,none,strong,continuous,adaptshrink_petgate,0.95,True,14,3,11,0,-,True
0.0,0.3,5,step,strong,continuous,adaptshrink_petgate,0.65,False,15,2,13,0,-,False
0.0,0.3,40,copas,strong,continuous,adaptshrink_petgate,0.775,False,14,6,8,0,-,False
0.0,0.3,40,none,strong,continuous,adaptshrink_petgate,0.975,True,14,9,5,0,-,True
0.0,0.3,40,step,strong,continuous,adaptshrink_petgate,0.125,False,15,0,15,0,-,False
0.0,0.5,5,copas,strong,continuous,adaptshrink_petgate,0.875,False,14,4,10,0,-,False
0.0,0.5,5,none,strong,continuous,adaptshrink_petgate,0.95,True,14,9,5,0,-,True
0.0,0.5,5,step,strong,continuous,adaptshrink_petgate,0.65,False,15,3,12,0,-,False
0.0,0.5,40,copas,strong,continuous,adaptshrink_petgate,0.625,False,14,7,7,0,-,False
0.0,0.5,40,none,strong,continuous,adaptshrink_petgate,0.925,True,14,9,5,0,-,True
0.0,0.5,40,step,strong,continuous,adaptshrink_petgate,0.25,False,15,0,12,3,"adaptshrink_fast,trim_and_fill,vevea_hedges",False
0.2,0.1,5,copas,strong,continuous,adaptshrink_petgate,0.925,True,14,6,8,0,-,True
0.2,0.1,5,none,strong,continuous,adaptshrink_petgate,0.975,True,13,5,8,0,-,True
0.2,0.1,5,step,strong,continuous,adaptshrink_petgate,0.925,True,14,2,11,1,trim_and_fill,False
0.2,0.1,40,copas,strong,continuous,adaptshrink_petgate,0.55,False,15,7,5,3,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib",False
0.2,0.1,40,none,strong,continuous,adaptshrink_petgate,0.75,False,15,3,12,0,-,False
0.2,0.1,40,step,strong,continuous,adaptshrink_petgate,0.425,False,15,3,7,5,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill,ubcma",False
0.2,0.3,5,copas,strong,continuous,adaptshrink_petgate,0.9,True,14,5,9,0,-,True
0.2,0.3,5,none,strong,continuous,adaptshrink_petgate,0.95,True,14,8,6,0,-,True
0.2,0.3,5,step,strong,continuous,adaptshrink_petgate,0.8,False,14,1,12,1,trim_and_fill,False
0.2,0.3,40,copas,strong,continuous,adaptshrink_petgate,0.625,False,14,9,5,0,-,False
0.2,0.3,40,none,strong,continuous,adaptshrink_petgate,0.9,True,14,8,6,0,-,True
0.2,0.3,40,step,strong,continuous,adaptshrink_petgate,0.275,False,15,3,11,1,vevea_hedges,False
0.2,0.5,5,copas,strong,continuous,adaptshrink_petgate,0.85,False,15,6,9,0,-,False
0.2,0.5,5,none,strong,continuous,adaptshrink_petgate,0.825,False,14,7,4,3,"copas,dl_hksj,reml_hksj",False
0.2,0.5,5,step,strong,continuous,adaptshrink_petgate,0.7,False,14,5,9,0,-,False
0.2,0.5,40,copas,strong,continuous,adaptshrink_petgate,0.675,False,15,9,6,0,-,False
0.2,0.5,40,none,strong,continuous,adaptshrink_petgate,0.9,True,14,4,10,0,-,True
0.2,0.5,40,step,strong,continuous,adaptshrink_petgate,0.2,False,15,2,11,2,"trim_and_fill,vevea_hedges",False
0.5,0.1,5,copas,strong,continuous,adaptshrink_petgate,0.95,True,15,2,13,0,-,True
0.5,0.1,5,none,strong,continuous,adaptshrink_petgate,0.95,True,15,5,10,0,-,True
0.5,0.1,5,step,strong,continuous,adaptshrink_petgate,0.9,True,14,2,12,0,-,True
0.5,0.1,40,copas,strong,continuous,adaptshrink_petgate,0.625,False,15,2,13,0,-,False
0.5,0.1,40,none,strong,continuous,adaptshrink_petgate,0.675,False,15,4,11,0,-,False
0.5,0.1,40,step,strong,continuous,adaptshrink_petgate,0.65,False,15,2,9,4,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,ubcma",False
0.5,0.3,5,copas,strong,continuous,adaptshrink_petgate,0.875,False,14,3,11,0,-,False
0.5,0.3,5,none,strong,continuous,adaptshrink_petgate,0.95,True,15,6,9,0,-,True
0.5,0.3,5,step,strong,continuous,adaptshrink_petgate,0.85,False,14,3,11,0,-,False
0.5,0.3,40,copas,strong,continuous,adaptshrink_petgate,0.6,False,15,3,12,0,-,False
0.5,0.3,40,none,strong,continuous,adaptshrink_petgate,0.9,True,15,6,9,0,-,True
0.5,0.3,40,step,strong,continuous,adaptshrink_petgate,0.325,False,15,2,12,1,adaptshrink_fast,False
0.5,0.5,5,copas,strong,continuous,adaptshrink_petgate,0.9,True,14,4,10,0,-,True
0.5,0.5,5,none,strong,continuous,adaptshrink_petgate,0.825,False,15,2,13,0,-,False
0.5,0.5,5,step,strong,continuous,adaptshrink_petgate,0.9,True,14,2,12,0,-,True
0.5,0.5,40,copas,strong,continuous,adaptshrink_petgate,0.7,False,15,7,8,0,-,False
0.5,0.5,40,none,strong,continuous,adaptshrink_petgate,0.925,True,15,5,10,0,-,True
0.5,0.5,40,step,strong,continuous,adaptshrink_petgate,0.5,False,15,1,14,0,-,False
