mu,tau,k,mechanism,strength,outcome,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.15,10,copas,strong,logor,adaptshrink_fast,1.0,True,13,0,3,10,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,adaptshrink_petgate,copas,dl_hksj,henmi_copas,reml_hksj,trim_and_fill,ubcma",False
0.0,0.15,10,none,strong,logor,adaptshrink_fast,0.975,True,14,3,11,0,-,True
0.0,0.15,10,step,strong,logor,adaptshrink_fast,1.0,True,14,5,9,0,-,True
0.0,0.15,40,copas,strong,logor,adaptshrink_fast,0.975,True,13,0,8,5,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,adaptshrink_petgate,trim_and_fill",False
0.0,0.15,40,none,strong,logor,adaptshrink_fast,1.0,True,14,2,12,0,-,True
0.0,0.15,40,step,strong,logor,adaptshrink_fast,1.0,True,13,2,9,2,"adaptshrink_auto,trim_and_fill",False
0.0,0.4,10,copas,strong,logor,adaptshrink_fast,1.0,True,13,1,9,3,"adaptshrink_auto,adaptshrink_petgate,trim_and_fill",False
0.0,0.4,10,none,strong,logor,adaptshrink_fast,1.0,True,14,2,6,6,"adaptshrink_auto,adaptshrink_petgate,copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.4,10,step,strong,logor,adaptshrink_fast,1.0,True,14,2,12,0,-,True
0.0,0.4,40,copas,strong,logor,adaptshrink_fast,0.825,False,15,2,4,9,"adaptshrink_auto,adaptshrink_ens,adaptshrink_petgate,adaptshrink_solo,copas,dl_hksj,henmi_copas,reml_hksj,trim_and_fill",False
0.0,0.4,40,none,strong,logor,adaptshrink_fast,1.0,True,15,6,9,0,-,True
0.0,0.4,40,step,strong,logor,adaptshrink_fast,0.975,True,15,12,3,0,-,True
0.4,0.15,10,copas,strong,logor,adaptshrink_fast,1.0,True,14,1,9,4,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,adaptshrink_petgate",False
0.4,0.15,10,none,strong,logor,adaptshrink_fast,1.0,True,13,5,3,5,"adaptshrink_petgate,copas,dl_hksj,henmi_copas,reml_hksj",False
0.4,0.15,10,step,strong,logor,adaptshrink_fast,1.0,True,14,0,14,0,-,True
0.4,0.15,40,copas,strong,logor,adaptshrink_fast,0.975,True,14,1,12,1,trim_and_fill,False
0.4,0.15,40,none,strong,logor,adaptshrink_fast,0.975,True,14,3,11,0,-,True
0.4,0.15,40,step,strong,logor,adaptshrink_fast,1.0,True,14,2,11,1,trim_and_fill,False
0.4,0.4,10,copas,strong,logor,adaptshrink_fast,0.925,True,13,0,4,9,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,adaptshrink_petgate,copas,dl_hksj,henmi_copas,reml_hksj,trim_and_fill",False
0.4,0.4,10,none,strong,logor,adaptshrink_fast,1.0,True,14,6,8,0,-,True
0.4,0.4,10,step,strong,logor,adaptshrink_fast,0.9,True,15,0,14,1,trim_and_fill,False
0.4,0.4,40,copas,strong,logor,adaptshrink_fast,0.9,True,14,2,9,3,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.4,0.4,40,none,strong,logor,adaptshrink_fast,0.925,True,15,5,9,1,dl_hksj,False
0.4,0.4,40,step,strong,logor,adaptshrink_fast,0.875,False,15,2,13,0,-,False
0.8,0.15,10,copas,strong,logor,adaptshrink_fast,0.975,True,14,1,13,0,-,True
0.8,0.15,10,none,strong,logor,adaptshrink_fast,1.0,True,14,3,10,1,adaptshrink_petgate,False
0.8,0.15,10,step,strong,logor,adaptshrink_fast,0.975,True,14,0,14,0,-,True
0.8,0.15,40,copas,strong,logor,adaptshrink_fast,0.725,False,15,0,11,4,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.8,0.15,40,none,strong,logor,adaptshrink_fast,1.0,True,15,3,12,0,-,True
0.8,0.15,40,step,strong,logor,adaptshrink_fast,0.975,True,15,6,9,0,-,True
0.8,0.4,10,copas,strong,logor,adaptshrink_fast,0.85,False,14,2,11,1,trim_and_fill,False
0.8,0.4,10,none,strong,logor,adaptshrink_fast,1.0,True,15,5,10,0,-,True
0.8,0.4,10,step,strong,logor,adaptshrink_fast,0.9,True,14,1,10,3,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib",False
0.8,0.4,40,copas,strong,logor,adaptshrink_fast,0.825,False,15,2,10,3,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.8,0.4,40,none,strong,logor,adaptshrink_fast,1.0,True,15,5,10,0,-,True
0.8,0.4,40,step,strong,logor,adaptshrink_fast,0.975,True,15,0,15,0,-,True
