mu,tau,k,mechanism,strength,outcome,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.15,40,none,strong,logor,adaptshrink_petgate,1.0,True,14,8,6,0,-,True
0.0,0.15,40,step,strong,logor,adaptshrink_petgate,0.75,False,13,6,7,0,-,False
0.0,0.4,10,copas,strong,logor,adaptshrink_petgate,0.875,False,13,5,7,1,trim_and_fill,False
0.0,0.4,10,none,strong,logor,adaptshrink_petgate,1.0,True,14,10,4,0,-,True
0.0,0.4,10,step,strong,logor,adaptshrink_petgate,0.8,False,14,1,13,0,-,False
0.0,0.4,40,copas,strong,logor,adaptshrink_petgate,0.375,False,15,5,9,1,trim_and_fill,False
0.0,0.4,40,none,strong,logor,adaptshrink_petgate,0.925,True,15,7,8,0,-,True
0.0,0.4,40,step,strong,logor,adaptshrink_petgate,0.375,False,15,5,5,5,"adaptshrink_ens,adaptshrink_ens_calib,adaptshrink_fast,trim_and_fill,vevea_hedges",False
0.4,0.15,10,none,strong,logor,adaptshrink_petgate,1.0,True,13,9,4,0,-,True
0.4,0.15,10,step,strong,logor,adaptshrink_petgate,0.825,False,14,6,4,4,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.4,0.15,40,none,strong,logor,adaptshrink_petgate,0.925,True,14,6,8,0,-,True
0.4,0.15,40,step,strong,logor,adaptshrink_petgate,0.8,False,14,1,13,0,-,False
0.4,0.4,10,copas,strong,logor,adaptshrink_petgate,0.75,False,13,6,7,0,-,False
0.4,0.4,10,none,strong,logor,adaptshrink_petgate,0.975,True,14,6,8,0,-,True
0.4,0.4,10,step,strong,logor,adaptshrink_petgate,0.675,False,15,5,10,0,-,False
0.4,0.4,40,copas,strong,logor,adaptshrink_petgate,0.45,False,14,5,6,3,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.4,0.4,40,none,strong,logor,adaptshrink_petgate,0.95,True,15,7,8,0,-,True
0.4,0.4,40,step,strong,logor,adaptshrink_petgate,0.425,False,15,5,10,0,-,False
0.8,0.15,10,copas,strong,logor,adaptshrink_petgate,0.875,False,14,6,8,0,-,False
0.8,0.15,10,none,strong,logor,adaptshrink_petgate,0.975,True,14,12,2,0,-,True
0.8,0.15,10,step,strong,logor,adaptshrink_petgate,0.925,True,14,7,7,0,-,True
0.8,0.15,40,copas,strong,logor,adaptshrink_petgate,0.575,False,15,5,6,4,"adaptshrink_auto,adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.8,0.15,40,none,strong,logor,adaptshrink_petgate,0.975,True,15,6,9,0,-,True
0.8,0.15,40,step,strong,logor,adaptshrink_petgate,0.925,True,15,6,9,0,-,True
0.8,0.4,10,copas,strong,logor,adaptshrink_petgate,0.7,False,14,6,5,3,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.8,0.4,10,none,strong,logor,adaptshrink_petgate,0.95,True,15,5,10,0,-,True
0.8,0.4,10,step,strong,logor,adaptshrink_petgate,0.8,False,14,7,7,0,-,False
0.8,0.4,40,copas,strong,logor,adaptshrink_petgate,0.575,False,15,5,7,3,"adaptshrink_ens,adaptshrink_ens_calib,trim_and_fill",False
0.8,0.4,40,none,strong,logor,adaptshrink_petgate,0.9,True,15,6,9,0,-,True
0.8,0.4,40,step,strong,logor,adaptshrink_petgate,0.8,False,15,6,9,0,-,False
