mu,tau,k,mechanism,strength,outcome,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.15,10,copas,moderate,logor,adaptshrink_fast,1.0,True,14,2,11,1,adaptshrink_petgate,False
0.0,0.15,10,step,moderate,logor,adaptshrink_fast,1.0,True,14,2,12,0,-,True
0.0,0.15,40,copas,moderate,logor,adaptshrink_fast,0.975,True,14,2,8,4,"adaptshrink_petgate,copas,dl_hksj,reml_hksj",False
0.0,0.15,40,step,moderate,logor,adaptshrink_fast,1.0,True,14,2,12,0,-,True
0.0,0.4,10,copas,moderate,logor,adaptshrink_fast,1.0,True,13,3,10,0,-,True
0.0,0.4,10,step,moderate,logor,adaptshrink_fast,1.0,True,14,0,14,0,-,True
0.0,0.4,40,copas,moderate,logor,adaptshrink_fast,0.925,True,14,2,11,1,adaptshrink_auto,False
0.0,0.4,40,step,moderate,logor,adaptshrink_fast,1.0,True,15,3,12,0,-,True
0.4,0.15,10,copas,moderate,logor,adaptshrink_fast,0.975,True,13,1,12,0,-,True
0.4,0.15,10,step,moderate,logor,adaptshrink_fast,1.0,True,13,2,11,0,-,True
0.4,0.15,40,copas,moderate,logor,adaptshrink_fast,1.0,True,14,2,12,0,-,True
0.4,0.15,40,step,moderate,logor,adaptshrink_fast,1.0,True,14,4,10,0,-,True
0.4,0.4,10,copas,moderate,logor,adaptshrink_fast,0.975,True,14,1,8,5,"adaptshrink_petgate,copas,dl_hksj,henmi_copas,reml_hksj",False
0.4,0.4,10,step,moderate,logor,adaptshrink_fast,1.0,True,15,3,5,7,"adaptshrink_auto,adaptshrink_petgate,copas,dl_hksj,henmi_copas,reml_hksj,ubcma",False
0.4,0.4,40,copas,moderate,logor,adaptshrink_fast,0.925,True,15,1,12,2,"adaptshrink_auto,adaptshrink_petgate",False
0.4,0.4,40,step,moderate,logor,adaptshrink_fast,0.975,True,15,5,9,1,vevea_hedges,False
0.8,0.15,10,copas,moderate,logor,adaptshrink_fast,1.0,True,15,2,11,2,"adaptshrink_auto,adaptshrink_petgate",False
0.8,0.15,10,step,moderate,logor,adaptshrink_fast,1.0,True,15,2,13,0,-,True
0.8,0.15,40,copas,moderate,logor,adaptshrink_fast,0.975,True,15,6,9,0,-,True
0.8,0.15,40,step,moderate,logor,adaptshrink_fast,0.95,True,15,3,12,0,-,True
0.8,0.4,10,copas,moderate,logor,adaptshrink_fast,0.975,True,15,3,8,4,"copas,dl_hksj,henmi_copas,reml_hksj",False
0.8,0.4,10,step,moderate,logor,adaptshrink_fast,1.0,True,15,1,12,2,"adaptshrink_auto,adaptshrink_petgate",False
0.8,0.4,40,copas,moderate,logor,adaptshrink_fast,0.975,True,15,6,9,0,-,True
0.8,0.4,40,step,moderate,logor,adaptshrink_fast,0.975,True,15,4,11,0,-,True
