mu,tau,k,mechanism,strength,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.0,10,copas,strong,adaptshrink_ens,0.975,True,10,3,7,0,-,True
0.0,0.0,10,none,strong,adaptshrink_ens,0.963,True,10,1,9,0,-,True
0.0,0.0,10,step,strong,adaptshrink_ens,0.925,True,10,4,6,0,-,True
0.0,0.0,40,copas,strong,adaptshrink_ens,0.988,True,12,10,2,0,-,True
0.0,0.0,40,none,strong,adaptshrink_ens,1.0,True,11,10,0,1,ubcma,False
0.0,0.0,40,step,strong,adaptshrink_ens,0.9,True,11,7,4,0,-,True
0.0,0.1,10,copas,strong,adaptshrink_ens,0.925,True,10,0,10,0,-,True
0.0,0.1,10,none,strong,adaptshrink_ens,0.975,True,10,2,8,0,-,True
0.0,0.1,10,step,strong,adaptshrink_ens,0.75,False,10,2,8,0,-,False
0.0,0.1,40,copas,strong,adaptshrink_ens,0.988,True,12,11,1,0,-,True
0.0,0.1,40,none,strong,adaptshrink_ens,0.925,True,12,2,10,0,-,True
0.0,0.1,40,step,strong,adaptshrink_ens,0.562,False,12,7,4,1,trim_and_fill,False
0.0,0.3,10,copas,strong,adaptshrink_ens,0.8,False,12,7,1,4,"copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,10,none,strong,adaptshrink_ens,0.863,False,11,1,5,5,"copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.0,0.3,10,step,strong,adaptshrink_ens,0.463,False,12,1,7,4,"copas,dl_hksj,reml_hksj,trim_and_fill",False
0.0,0.3,40,copas,strong,adaptshrink_ens,0.95,True,11,2,8,1,henmi_copas,False
0.0,0.3,40,none,strong,adaptshrink_ens,0.9,True,11,2,4,5,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,40,step,strong,adaptshrink_ens,0.5,False,12,3,8,1,trim_and_fill,False
0.2,0.0,10,copas,strong,adaptshrink_ens,0.988,True,11,9,2,0,-,True
0.2,0.0,10,none,strong,adaptshrink_ens,0.963,True,11,2,9,0,-,True
0.2,0.0,10,step,strong,adaptshrink_ens,0.988,True,11,6,5,0,-,True
0.2,0.0,40,copas,strong,adaptshrink_ens,1.0,True,12,10,2,0,-,True
0.2,0.0,40,none,strong,adaptshrink_ens,1.0,True,11,10,1,0,-,True
0.2,0.0,40,step,strong,adaptshrink_ens,0.963,True,12,10,1,1,trim_and_fill,False
0.2,0.1,10,copas,strong,adaptshrink_ens,0.912,True,11,3,8,0,-,True
0.2,0.1,10,none,strong,adaptshrink_ens,0.925,True,11,1,4,6,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.2,0.1,10,step,strong,adaptshrink_ens,0.938,True,11,9,1,1,trim_and_fill,False
0.2,0.1,40,copas,strong,adaptshrink_ens,0.963,True,12,10,2,0,-,True
0.2,0.1,40,none,strong,adaptshrink_ens,0.975,True,12,7,5,0,-,True
0.2,0.1,40,step,strong,adaptshrink_ens,0.925,True,12,7,4,1,trim_and_fill,False
0.2,0.3,10,copas,strong,adaptshrink_ens,0.775,False,12,3,9,0,-,False
0.2,0.3,10,none,strong,adaptshrink_ens,0.787,False,12,1,6,5,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj",False
0.2,0.3,10,step,strong,adaptshrink_ens,0.75,False,11,1,10,0,-,False
0.2,0.3,40,copas,strong,adaptshrink_ens,0.863,False,11,2,9,0,-,False
0.2,0.3,40,none,strong,adaptshrink_ens,0.938,True,11,2,3,6,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.2,0.3,40,step,strong,adaptshrink_ens,0.812,False,12,1,10,1,trim_and_fill,False
0.5,0.0,10,copas,strong,adaptshrink_ens,1.0,True,12,11,1,0,-,True
0.5,0.0,10,none,strong,adaptshrink_ens,1.0,True,12,10,2,0,-,True
0.5,0.0,10,step,strong,adaptshrink_ens,0.938,True,12,2,10,0,-,True
0.5,0.0,40,copas,strong,adaptshrink_ens,1.0,True,12,10,2,0,-,True
0.5,0.0,40,none,strong,adaptshrink_ens,1.0,True,12,11,1,0,-,True
0.5,0.0,40,step,strong,adaptshrink_ens,1.0,True,12,11,1,0,-,True
0.5,0.1,10,copas,strong,adaptshrink_ens,0.938,True,12,1,11,0,-,True
0.5,0.1,10,none,strong,adaptshrink_ens,0.988,True,12,2,10,0,-,True
0.5,0.1,10,step,strong,adaptshrink_ens,0.963,True,12,2,10,0,-,True
0.5,0.1,40,copas,strong,adaptshrink_ens,1.0,True,12,10,2,0,-,True
0.5,0.1,40,none,strong,adaptshrink_ens,1.0,True,12,11,1,0,-,True
0.5,0.1,40,step,strong,adaptshrink_ens,0.988,True,12,10,2,0,-,True
0.5,0.3,10,copas,strong,adaptshrink_ens,0.675,False,11,0,4,7,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_curve,p_uniform_star,reml_hksj",False
0.5,0.3,10,none,strong,adaptshrink_ens,0.75,False,12,1,3,8,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,ubcma,vevea_hedges",False
0.5,0.3,10,step,strong,adaptshrink_ens,0.787,False,11,1,9,1,trim_and_fill,False
0.5,0.3,40,copas,strong,adaptshrink_ens,0.887,True,12,0,12,0,-,True
0.5,0.3,40,none,strong,adaptshrink_ens,0.963,True,12,3,9,0,-,True
0.5,0.3,40,step,strong,adaptshrink_ens,0.875,False,12,3,9,0,-,False
