mu,tau,k,mechanism,strength,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.0,10,copas,strong,adaptshrink_solo,0.875,False,10,0,9,1,ubcma,False
0.0,0.0,10,none,strong,adaptshrink_solo,0.887,True,10,0,10,0,-,True
0.0,0.0,10,step,strong,adaptshrink_solo,0.812,False,10,0,9,1,adaptshrink_ens,False
0.0,0.0,40,copas,strong,adaptshrink_solo,0.6,False,12,3,6,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.0,0.0,40,none,strong,adaptshrink_solo,0.463,False,11,1,8,2,"adaptshrink_ens,ubcma",False
0.0,0.0,40,step,strong,adaptshrink_solo,0.575,False,11,0,9,2,"adaptshrink_ens,trim_and_fill",False
0.0,0.1,10,copas,strong,adaptshrink_solo,0.912,True,10,0,9,1,henmi_copas,False
0.0,0.1,10,none,strong,adaptshrink_solo,0.863,False,10,0,0,10,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,pet_peese,reml_hksj,trim_and_fill,ubcma,vevea_hedges",False
0.0,0.1,10,step,strong,adaptshrink_solo,0.662,False,10,0,8,2,"adaptshrink_ens,trim_and_fill",False
0.0,0.1,40,copas,strong,adaptshrink_solo,0.6,False,12,3,6,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.0,0.1,40,none,strong,adaptshrink_solo,0.637,False,12,1,7,4,"copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.1,40,step,strong,adaptshrink_solo,0.625,False,12,0,7,5,"adaptshrink_ens,adaptshrink_fast,p_uniform_star,trim_and_fill,vevea_hedges",False
0.0,0.3,10,copas,strong,adaptshrink_solo,0.825,False,12,0,6,6,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,trim_and_fill",False
0.0,0.3,10,none,strong,adaptshrink_solo,0.912,True,11,0,3,8,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,pet_peese,reml_hksj,vevea_hedges",False
0.0,0.3,10,step,strong,adaptshrink_solo,0.613,False,12,0,7,5,"copas,dl_hksj,henmi_copas,reml_hksj,trim_and_fill",False
0.0,0.3,40,copas,strong,adaptshrink_solo,0.787,False,11,1,7,3,"copas,henmi_copas,reml_hksj",False
0.0,0.3,40,none,strong,adaptshrink_solo,0.887,True,11,2,4,5,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,40,step,strong,adaptshrink_solo,0.35,False,12,0,7,5,"adaptshrink_ens,adaptshrink_fast,p_uniform_star,trim_and_fill,vevea_hedges",False
0.2,0.0,10,copas,strong,adaptshrink_solo,0.787,False,11,0,10,1,adaptshrink_ens,False
0.2,0.0,10,none,strong,adaptshrink_solo,0.863,False,11,0,9,2,"copas,reml_hksj",False
0.2,0.0,10,step,strong,adaptshrink_solo,0.775,False,11,0,7,4,"adaptshrink_ens,adaptshrink_fast,trim_and_fill,vevea_hedges",False
0.2,0.0,40,copas,strong,adaptshrink_solo,0.625,False,12,1,8,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.2,0.0,40,none,strong,adaptshrink_solo,0.425,False,11,0,5,6,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,ubcma",False
0.2,0.0,40,step,strong,adaptshrink_solo,0.863,False,12,1,8,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.2,0.1,10,copas,strong,adaptshrink_solo,0.863,False,11,0,6,5,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj",False
0.2,0.1,10,none,strong,adaptshrink_solo,0.875,False,11,0,10,1,dl_hksj,False
0.2,0.1,10,step,strong,adaptshrink_solo,0.863,False,11,1,8,2,"adaptshrink_ens,trim_and_fill",False
0.2,0.1,40,copas,strong,adaptshrink_solo,0.55,False,12,2,7,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.2,0.1,40,none,strong,adaptshrink_solo,0.75,False,12,1,5,6,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,ubcma",False
0.2,0.1,40,step,strong,adaptshrink_solo,0.8,False,12,0,6,6,"adaptshrink_ens,adaptshrink_fast,p_uniform_star,trim_and_fill,ubcma,vevea_hedges",False
0.2,0.3,10,copas,strong,adaptshrink_solo,0.887,True,12,0,6,6,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,ubcma",False
0.2,0.3,10,none,strong,adaptshrink_solo,0.912,True,12,0,5,7,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,vevea_hedges",False
0.2,0.3,10,step,strong,adaptshrink_solo,0.812,False,11,0,10,1,trim_and_fill,False
0.2,0.3,40,copas,strong,adaptshrink_solo,0.725,False,11,2,9,0,-,False
0.2,0.3,40,none,strong,adaptshrink_solo,0.9,True,11,1,3,7,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,vevea_hedges",False
0.2,0.3,40,step,strong,adaptshrink_solo,0.65,False,12,0,11,1,trim_and_fill,False
0.5,0.0,10,copas,strong,adaptshrink_solo,0.825,False,12,0,3,9,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,trim_and_fill,vevea_hedges",False
0.5,0.0,10,none,strong,adaptshrink_solo,0.875,False,12,0,11,1,adaptshrink_ens,False
0.5,0.0,10,step,strong,adaptshrink_solo,0.812,False,12,0,1,11,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,p_curve,p_uniform_star,reml_hksj,trim_and_fill,ubcma,vevea_hedges",False
0.5,0.0,40,copas,strong,adaptshrink_solo,0.662,False,12,0,9,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.5,0.0,40,none,strong,adaptshrink_solo,0.512,False,12,0,3,9,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,ubcma,vevea_hedges",False
0.5,0.0,40,step,strong,adaptshrink_solo,0.45,False,12,0,10,2,"adaptshrink_ens,ubcma",False
0.5,0.1,10,copas,strong,adaptshrink_solo,0.838,False,12,1,10,1,henmi_copas,False
0.5,0.1,10,none,strong,adaptshrink_solo,0.875,False,12,0,2,10,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,trim_and_fill,ubcma,vevea_hedges",False
0.5,0.1,10,step,strong,adaptshrink_solo,0.812,False,12,0,11,1,ubcma,False
0.5,0.1,40,copas,strong,adaptshrink_solo,0.562,False,12,0,10,2,"adaptshrink_ens,ubcma",False
0.5,0.1,40,none,strong,adaptshrink_solo,0.562,False,12,0,2,10,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,p_curve,p_uniform_star,reml_hksj,ubcma,vevea_hedges",False
0.5,0.1,40,step,strong,adaptshrink_solo,0.713,False,12,1,10,1,adaptshrink_ens,False
0.5,0.3,10,copas,strong,adaptshrink_solo,0.912,True,11,0,4,7,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_curve,p_uniform_star,reml_hksj",False
0.5,0.3,10,none,strong,adaptshrink_solo,0.938,True,12,0,3,9,"adaptshrink_fast,copas,dl_hksj,henmi_copas,p_curve,p_uniform_star,reml_hksj,ubcma,vevea_hedges",False
0.5,0.3,10,step,strong,adaptshrink_solo,0.887,True,11,0,10,1,p_curve,False
0.5,0.3,40,copas,strong,adaptshrink_solo,0.787,False,12,0,6,6,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.5,0.3,40,none,strong,adaptshrink_solo,0.887,True,12,1,2,9,"adaptshrink_ens,adaptshrink_fast,copas,dl_hksj,henmi_copas,p_uniform_star,reml_hksj,ubcma,vevea_hedges",False
0.5,0.3,40,step,strong,adaptshrink_solo,0.662,False,12,0,7,5,"adaptshrink_ens,adaptshrink_fast,henmi_copas,p_uniform_star,vevea_hedges",False
