mu,tau,k,mechanism,strength,headline,comparator,comp_conv,d_mciw0,ci_lo,ci_hi,verdict
0.0,0.0,10,copas,strong,adaptshrink_ens,adaptshrink_fast,1.0,-0.0787,-0.1927,-0.024,as_win
0.0,0.0,10,copas,strong,adaptshrink_ens,adaptshrink_solo,1.0,-0.2917,-0.504,0.0333,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,copas,1.0,-0.0499,-0.176,0.0199,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,dl_hksj,1.0,-0.0504,-0.1764,0.0388,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,henmi_copas,1.0,-0.0469,-0.1707,0.0145,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,p_curve,0.263,-1.2434,-2.0162,-0.0485,as_win
0.0,0.0,10,copas,strong,adaptshrink_ens,p_uniform_star,0.537,-0.1173,-0.2393,0.0221,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,pet_peese,1.0,-0.2579,-0.3796,-0.0698,as_win
0.0,0.0,10,copas,strong,adaptshrink_ens,reml_hksj,1.0,-0.0566,-0.1836,0.0421,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,trim_and_fill,1.0,-0.0174,-0.1047,0.0124,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,ubcma,0.925,0.0912,-0.0296,0.3982,tie
0.0,0.0,10,copas,strong,adaptshrink_ens,vevea_hedges,0.975,-0.1268,-0.2473,-0.0116,as_win
0.0,0.0,10,none,strong,adaptshrink_ens,adaptshrink_fast,1.0,-0.2345,-0.4189,-0.0011,as_win
0.0,0.0,10,none,strong,adaptshrink_ens,adaptshrink_solo,1.0,-0.0898,-0.3456,0.051,tie
0.0,0.0,10,none,strong,adaptshrink_ens,copas,1.0,0.0234,-0.1005,0.1309,tie
0.0,0.0,10,none,strong,adaptshrink_ens,dl_hksj,1.0,0.021,-0.1047,0.1232,tie
0.0,0.0,10,none,strong,adaptshrink_ens,henmi_copas,1.0,0.0536,-0.0595,0.1463,tie
0.0,0.0,10,none,strong,adaptshrink_ens,p_curve,0.287,-0.6266,-0.8433,-0.4427,as_win
0.0,0.0,10,none,strong,adaptshrink_ens,p_uniform_star,0.562,-0.3122,-0.4888,0.0026,tie
0.0,0.0,10,none,strong,adaptshrink_ens,pet_peese,1.0,-0.0524,-0.1777,0.0257,tie
0.0,0.0,10,none,strong,adaptshrink_ens,reml_hksj,1.0,0.019,-0.1087,0.1182,tie
