quality_bias,method,bias,rmse,coverage,interval_width,convergence_rate
moderate,copas,0.09403280775389324,0.1043254608587072,0.3,0.13918473953379498,1.0
moderate,dl,0.0947566691987331,0.1050964537290804,0.31333333333333335,0.14602089100402432,1.0
moderate,dl_hksj,0.0947566691987331,0.1050964537290804,0.3566666666666667,0.16418431944131925,1.0
moderate,pet_peese,0.05763535583725351,0.1043684004454288,0.46,0.1753757151126662,1.0
moderate,quality_effects,0.0698583976252425,0.08267520462988258,0.41,0.1270280045890681,1.0
moderate,reml,0.09473719900347753,0.10505581485320041,0.31,0.14512726405180937,1.0
moderate,reml_hksj,0.09473719900347753,0.10505581485320041,0.35333333333333333,0.16388166129335768,1.0
moderate,trim_and_fill,-0.02851951057168429,0.07836847827719658,0.51,0.08331189657980488,1.0
moderate,ubcma,0.020895187394727986,0.06611098104567237,0.9033333333333333,0.22274525853801166,0.9833333333333333
none,copas,0.0198106157415814,0.044531471568367835,0.86,0.13393521297316743,1.0
none,dl,0.020363957120649777,0.044949050177519344,0.88,0.14117283218031904,1.0
none,dl_hksj,0.020363957120649777,0.044949050177519344,0.91,0.1602625498477636,1.0
none,pet_peese,-0.010832589377628474,0.08142870702827557,0.83,0.19775871698281114,1.0
none,quality_effects,0.01988941760499077,0.04604758815396453,0.8333333333333334,0.13075748763120928,1.0
none,reml,0.020318122446866583,0.04497690617925269,0.8766666666666667,0.13961880994501422,1.0
none,reml_hksj,0.020318122446866583,0.04497690617925269,0.9233333333333333,0.15952985441616857,1.0
none,trim_and_fill,-0.08309362043068655,0.10723407181268389,0.27,0.08804761636908327,1.0
none,ubcma,0.025128847691803954,0.07297560071624269,0.8733333333333333,0.22906333936253798,0.97
